problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Ticket Game,http://codeforces.com/contest/1215/problem/D,D,1700,Codeforces Round #585 (Div. 2),http://codeforces.com/contest/1215
Kirk and a Binary String (easy version),http://codeforces.com/contest/1204/problem/D1,D1,2000,Codeforces Round #581 (Div. 2),http://codeforces.com/contest/1204
Kirk and a Binary String (hard version),http://codeforces.com/contest/1204/problem/D2,D2,2100,Codeforces Round #581 (Div. 2),http://codeforces.com/contest/1204
Shortest Cycle,http://codeforces.com/contest/1206/problem/D,D,1900,Codeforces Round #580 (Div. 2),http://codeforces.com/contest/1206
White Lines,http://codeforces.com/contest/1200/problem/D,D,1900,Codeforces Round #578 (Div. 2),http://codeforces.com/contest/1200
Treasure Hunting,http://codeforces.com/contest/1201/problem/D,D,2100,Codeforces Round #577 (Div. 2),http://codeforces.com/contest/1201
Welfare State,http://codeforces.com/contest/1199/problem/D,D,1600,Codeforces Round #576 (Div. 2),http://codeforces.com/contest/1199
Submarine in the Rybinsk Sea (easy edition),http://codeforces.com/contest/1195/problem/D1,D1,1500,Codeforces Round #574 (Div. 2),http://codeforces.com/contest/1195
Submarine in the Rybinsk Sea (hard edition),http://codeforces.com/contest/1195/problem/D2,D2,1800,Codeforces Round #574 (Div. 2),http://codeforces.com/contest/1195
"Tokitsukaze, CSL and Stone Game",http://codeforces.com/contest/1191/problem/D,D,1800,Codeforces Round #573 (Div. 2),http://codeforces.com/contest/1191
Add on a Tree,http://codeforces.com/contest/1189/problem/D1,D1,1600,Codeforces Round #572 (Div. 2),http://codeforces.com/contest/1189
Add on a Tree: Revolution,http://codeforces.com/contest/1189/problem/D2,D2,2500,Codeforces Round #572 (Div. 2),http://codeforces.com/contest/1189
Vus the Cossack and Numbers,http://codeforces.com/contest/1186/problem/D,D,1500,Codeforces Round #571 (Div. 2),http://codeforces.com/contest/1186
Tolik and His Uncle,http://codeforces.com/contest/1180/problem/D,D,1800,Codeforces Round #569 (Div. 2),http://codeforces.com/contest/1180
Extra Element,http://codeforces.com/contest/1185/problem/D,D,1700,Codeforces Round #568 (Div. 2),http://codeforces.com/contest/1185
Irrigation,http://codeforces.com/contest/1181/problem/D,D,2200,Codeforces Round #567 (Div. 2),http://codeforces.com/contest/1181
Complete Mirror,http://codeforces.com/contest/1182/problem/D,D,2400,Codeforces Round #566 (Div. 2),http://codeforces.com/contest/1182
Nauuo and Circle,http://codeforces.com/contest/1173/problem/D,D,1900,Codeforces Round #564 (Div. 2),http://codeforces.com/contest/1173
Ehab and the Expected XOR Problem,http://codeforces.com/contest/1174/problem/D,D,1900,Codeforces Round #563 (Div. 2),http://codeforces.com/contest/1174
Good Triple,http://codeforces.com/contest/1169/problem/D,D,1900,Codeforces Round #562 (Div. 2),http://codeforces.com/contest/1169
Cute Sequences,http://codeforces.com/contest/1166/problem/D,D,2200,Codeforces Round #561 (Div. 2),http://codeforces.com/contest/1166
The minimal unique substring,http://codeforces.com/contest/1159/problem/D,D,2200,Codeforces Round #559 (Div. 2),http://codeforces.com/contest/1159
Mysterious Code,http://codeforces.com/contest/1163/problem/D,D,2100,Codeforces Round #558 (Div. 2),http://codeforces.com/contest/1163
Chladni Figure,http://codeforces.com/contest/1162/problem/D,D,1900,Codeforces Round #557 (Div. 2) [based on Forethought Future Cup - Final Round],http://codeforces.com/contest/1162
Three Religions,http://codeforces.com/contest/1150/problem/D,D,2200,Codeforces Round #556 (Div. 2),http://codeforces.com/contest/1150
Neko and Aki's Prank,http://codeforces.com/contest/1152/problem/D,D,2100,Codeforces Round #554 (Div. 2),http://codeforces.com/contest/1152
Stas and the Queue at the Buffet,http://codeforces.com/contest/1151/problem/D,D,1600,Codeforces Round #553 (Div. 2),http://codeforces.com/contest/1151
Serval and Rooted Tree,http://codeforces.com/contest/1153/problem/D,D,1900,Codeforces Round #551 (Div. 2),http://codeforces.com/contest/1153
The Beatles,http://codeforces.com/contest/1143/problem/D,D,1700,Codeforces Round #549 (Div. 2),http://codeforces.com/contest/1143
Steps to One,http://codeforces.com/contest/1139/problem/D,D,2300,Codeforces Round #548 (Div. 2),http://codeforces.com/contest/1139
Nastya Is Buying Lunch,http://codeforces.com/contest/1136/problem/D,D,1800,Codeforces Round #546 (Div. 2),http://codeforces.com/contest/1136
Camp Schedule,http://codeforces.com/contest/1138/problem/D,D,1600,Codeforces Round #545 (Div. 2),http://codeforces.com/contest/1138
Gourmet choice,http://codeforces.com/contest/1131/problem/D,D,2000,Codeforces Round #541 (Div. 2),http://codeforces.com/contest/1131
Sasha and One More Name,http://codeforces.com/contest/1113/problem/D,D,1800,Codeforces Round #539 (Div. 2),http://codeforces.com/contest/1113
Flood Fill,http://codeforces.com/contest/1114/problem/D,D,1900,Codeforces Round #538 (Div. 2),http://codeforces.com/contest/1114
Destroy the Colony,http://codeforces.com/contest/1111/problem/D,D,2600,CodeCraft-19 and Codeforces Round #537 (Div. 2),http://codeforces.com/contest/1111
Lunar New Year and a Wander,http://codeforces.com/contest/1106/problem/D,D,1500,Codeforces Round #536 (Div. 2),http://codeforces.com/contest/1106
Game with modulo,http://codeforces.com/contest/1104/problem/D,D,2000,Codeforces Round #534 (Div. 2),http://codeforces.com/contest/1104
Kilani and the Game,http://codeforces.com/contest/1105/problem/D,D,1900,Codeforces Round #533 (Div. 2),http://codeforces.com/contest/1105
Dasha and Chess,http://codeforces.com/contest/1100/problem/D,D,2500,Codeforces Round #532 (Div. 2),http://codeforces.com/contest/1100
Sum in the tree,http://codeforces.com/contest/1099/problem/D,D,1600,Codeforces Round #530 (Div. 2),http://codeforces.com/contest/1099
The Fair Nut and the Best Path,http://codeforces.com/contest/1084/problem/D,D,1800,Codeforces Round #526 (Div. 2),http://codeforces.com/contest/1084
Ehab and another another xor problem,http://codeforces.com/contest/1088/problem/D,D,2000,Codeforces Round #525 (Div. 2),http://codeforces.com/contest/1088
Olya and magical square,http://codeforces.com/contest/1080/problem/D,D,2000,Codeforces Round #524 (Div. 2),http://codeforces.com/contest/1080
