problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Big Vova,http://codeforces.com/contest/1407/problem/B,B,1300,Codeforces Round #669 (Div. 2),http://codeforces.com/contest/1407
Array Cancellation,http://codeforces.com/contest/1405/problem/B,B,1000,Codeforces Round #668 (Div. 2),http://codeforces.com/contest/1405
Power Sequence,http://codeforces.com/contest/1397/problem/B,B,1500,Codeforces Round #666 (Div. 2),http://codeforces.com/contest/1397
Ternary Sequence,http://codeforces.com/contest/1401/problem/B,B,1100,Codeforces Round #665 (Div. 2),http://codeforces.com/contest/1401
Boboniu Plays Chess,http://codeforces.com/contest/1395/problem/B,B,1100,Codeforces Round #664 (Div. 2),http://codeforces.com/contest/1395
Fix You,http://codeforces.com/contest/1391/problem/B,B,800,Codeforces Round #663 (Div. 2),http://codeforces.com/contest/1391
Applejack and Storages,http://codeforces.com/contest/1393/problem/B,B,1400,Codeforces Round #662 (Div. 2),http://codeforces.com/contest/1393
Captain Flint and a Long Voyage,http://codeforces.com/contest/1388/problem/B,B,1000,Codeforces Round #660 (Div. 2),http://codeforces.com/contest/1388
Koa and the Beach (Easy Version),http://codeforces.com/contest/1384/problem/B1,B1,1900,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Koa and the Beach (Hard Version),http://codeforces.com/contest/1384/problem/B2,B2,2200,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Sequential Nim,http://codeforces.com/contest/1382/problem/B,B,1100,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
Dubious Cyrpto,http://codeforces.com/contest/1379/problem/B,B,1500,Codeforces Round #657 (Div. 2),http://codeforces.com/contest/1379
Omkar and Last Class of Math,http://codeforces.com/contest/1372/problem/B,B,1300,Codeforces Round #655 (Div. 2),http://codeforces.com/contest/1372
Magical Calendar,http://codeforces.com/contest/1371/problem/B,B,1200,Codeforces Round #654 (Div. 2),http://codeforces.com/contest/1371
AccurateLee,http://codeforces.com/contest/1369/problem/B,B,1200,Codeforces Round #652 (Div. 2),http://codeforces.com/contest/1369
GCD Compression,http://codeforces.com/contest/1370/problem/B,B,1100,Codeforces Round #651 (Div. 2),http://codeforces.com/contest/1370
Most socially-distanced subsequence,http://codeforces.com/contest/1364/problem/B,B,1300,Codeforces Round #649 (Div. 2),http://codeforces.com/contest/1364
Trouble Sort,http://codeforces.com/contest/1365/problem/B,B,1300,Codeforces Round #648 (Div. 2),http://codeforces.com/contest/1365
Johnny and His Hobbies,http://codeforces.com/contest/1362/problem/B,B,1200,"Codeforces Round #647 (Div. 2) - Thanks, Algo Muse!",http://codeforces.com/contest/1362
Subsequence Hate,http://codeforces.com/contest/1363/problem/B,B,1400,Codeforces Round #646 (Div. 2),http://codeforces.com/contest/1363
Maria Breaks the Self-isolation,http://codeforces.com/contest/1358/problem/B,B,1000,Codeforces Round #645 (Div. 2),http://codeforces.com/contest/1358
Young Explorers,http://codeforces.com/contest/1355/problem/B,B,1200,Codeforces Round #643 (Div. 2),http://codeforces.com/contest/1355
Orac and Models,http://codeforces.com/contest/1350/problem/B,B,1400,Codeforces Round #641 (Div. 2),http://codeforces.com/contest/1350
Card Constructions,http://codeforces.com/contest/1345/problem/B,B,1100,Codeforces Round #639 (Div. 2),http://codeforces.com/contest/1345
Phoenix and Beauty,http://codeforces.com/contest/1348/problem/B,B,1400,Codeforces Round #638 (Div. 2),http://codeforces.com/contest/1348
Nastya and Door,http://codeforces.com/contest/1341/problem/B,B,1300,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",http://codeforces.com/contest/1341
Kana and Dragon Quest game,http://codeforces.com/contest/1337/problem/B,B,900,Codeforces Round #635 (Div. 2),http://codeforces.com/contest/1337
Sorted Adjacent Differences,http://codeforces.com/contest/1339/problem/B,B,1200,Codeforces Round #633 (Div. 2),http://codeforces.com/contest/1339
Kind Anton,http://codeforces.com/contest/1333/problem/B,B,1100,Codeforces Round #632 (Div. 2),http://codeforces.com/contest/1333
Dreamoon Likes Permutations,http://codeforces.com/contest/1330/problem/B,B,1400,"Codeforces Round #631 (Div. 2) - Thanks, Denis aramis Shitov!",http://codeforces.com/contest/1330
Composite Coloring,http://codeforces.com/contest/1332/problem/B,B,1400,Codeforces Round #630 (Div. 2),http://codeforces.com/contest/1332
CopyCopyCopyCopyCopy,http://codeforces.com/contest/1325/problem/B,B,800,Codeforces Round #628 (Div. 2),http://codeforces.com/contest/1325
Different Rules,http://codeforces.com/contest/1313/problem/B,B,1700,Codeforces Round #622 (Div. 2),http://codeforces.com/contest/1313
Longest Palindrome,http://codeforces.com/contest/1304/problem/B,B,1100,Codeforces Round #620 (Div. 2),http://codeforces.com/contest/1304
Motarack's Birthday,http://codeforces.com/contest/1301/problem/B,B,1500,Codeforces Round #619 (Div. 2),http://codeforces.com/contest/1301
Assigning to Classes,http://codeforces.com/contest/1300/problem/B,B,1000,Codeforces Round #618 (Div. 2),http://codeforces.com/contest/1300
Array Sharpening,http://codeforces.com/contest/1291/problem/B,B,1300,Codeforces Round #616 (Div. 2),http://codeforces.com/contest/1291
JOE is on TV!,http://codeforces.com/contest/1293/problem/B,B,1000,Codeforces Round #614 (Div. 2),http://codeforces.com/contest/1293
Just Eat It!,http://codeforces.com/contest/1285/problem/B,B,1300,Codeforces Round #613 (Div. 2),http://codeforces.com/contest/1285
Hyperset,http://codeforces.com/contest/1287/problem/B,B,1500,Codeforces Round #612 (Div. 2),http://codeforces.com/contest/1287
K for the Price of One (Easy Version),http://codeforces.com/contest/1282/problem/B1,B1,1400,Codeforces Round #610 (Div. 2),http://codeforces.com/contest/1282
K for the Price of One (Hard Version),http://codeforces.com/contest/1282/problem/B2,B2,1600,Codeforces Round #610 (Div. 2),http://codeforces.com/contest/1282
Modulo Equality,http://codeforces.com/contest/1269/problem/B,B,1500,Codeforces Round #609 (Div. 2),http://codeforces.com/contest/1269
Blocks,http://codeforces.com/contest/1271/problem/B,B,1300,Codeforces Round #608 (Div. 2),http://codeforces.com/contest/1271
Azamon Web Services,http://codeforces.com/contest/1281/problem/B,B,1600,Codeforces Round #607 (Div. 2),http://codeforces.com/contest/1281
Beautiful Numbers,http://codeforces.com/contest/1265/problem/B,B,1300,Codeforces Round #604 (Div. 2),http://codeforces.com/contest/1265
PIN Codes,http://codeforces.com/contest/1263/problem/B,B,1400,Codeforces Round #603 (Div. 2),http://codeforces.com/contest/1263
Fridge Lockers,http://codeforces.com/contest/1255/problem/B,B,1100,Codeforces Round #601 (Div. 2),http://codeforces.com/contest/1255
