problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Exercising Walk,http://codeforces.com/contest/1332/problem/A,A,1100,Codeforces Round #630 (Div. 2),http://codeforces.com/contest/1332
EhAb AnD gCd,http://codeforces.com/contest/1325/problem/A,A,800,Codeforces Round #628 (Div. 2),http://codeforces.com/contest/1325
Fast Food Restaurant,http://codeforces.com/contest/1313/problem/A,A,900,Codeforces Round #622 (Div. 2),http://codeforces.com/contest/1313
Two Rabbits,http://codeforces.com/contest/1304/problem/A,A,800,Codeforces Round #620 (Div. 2),http://codeforces.com/contest/1304
Three Strings,http://codeforces.com/contest/1301/problem/A,A,800,Codeforces Round #619 (Div. 2),http://codeforces.com/contest/1301
Non-zero,http://codeforces.com/contest/1300/problem/A,A,800,Codeforces Round #618 (Div. 2),http://codeforces.com/contest/1300
Even But Not Even,http://codeforces.com/contest/1291/problem/A,A,900,Codeforces Round #616 (Div. 2),http://codeforces.com/contest/1291
ConneR and the A,http://codeforces.com/contest/1293/problem/A,A,1100,Codeforces Round #614 (Div. 2),http://codeforces.com/contest/1293
Mezo Playing Zoma,http://codeforces.com/contest/1285/problem/A,A,800,Codeforces Round #613 (Div. 2),http://codeforces.com/contest/1285
Angry Students,http://codeforces.com/contest/1287/problem/A,A,800,Codeforces Round #612 (Div. 2),http://codeforces.com/contest/1287
Temporarily unavailable,http://codeforces.com/contest/1282/problem/A,A,900,Codeforces Round #610 (Div. 2),http://codeforces.com/contest/1282
Equation,http://codeforces.com/contest/1269/problem/A,A,800,Codeforces Round #609 (Div. 2),http://codeforces.com/contest/1269
Suits,http://codeforces.com/contest/1271/problem/A,A,800,Codeforces Round #608 (Div. 2),http://codeforces.com/contest/1271
Suffix Three,http://codeforces.com/contest/1281/problem/A,A,800,Codeforces Round #607 (Div. 2),http://codeforces.com/contest/1281
Beautiful String,http://codeforces.com/contest/1265/problem/A,A,1000,Codeforces Round #604 (Div. 2),http://codeforces.com/contest/1265
Sweet Problem,http://codeforces.com/contest/1263/problem/A,A,1100,Codeforces Round #603 (Div. 2),http://codeforces.com/contest/1263
Changing Volume,http://codeforces.com/contest/1255/problem/A,A,800,Codeforces Round #601 (Div. 2),http://codeforces.com/contest/1255
Single Push,http://codeforces.com/contest/1253/problem/A,A,1000,Codeforces Round #600 (Div. 2),http://codeforces.com/contest/1253
Maximum Square,http://codeforces.com/contest/1243/problem/A,A,800,Codeforces Round #599 (Div. 2),http://codeforces.com/contest/1243
Good ol' Numbers Coloring,http://codeforces.com/contest/1245/problem/A,A,1000,Codeforces Round #597 (Div. 2),http://codeforces.com/contest/1245
